,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,16,買いたい家の数,12,
,売れた家の数,12,買えた家の数,12,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Madison,3000,245001,12,3
,Bush,Pierce,2000,108001,12,8
,Reagan,Polk,2500,69801,10,11
,Taft,Clinton,1000,193301,11,6
,Adams,Buren,500,232701,11,4
,Monroe,Arthur,2500,108001,11,9
,Jackson,Coolidge,1500,198001,11,5
,Tyler,Lincoln,2500,312801,9,1
,Fillmore,Harrison,1000,168001,6,7
,Grant,Taylor,2000,74801,5,10
,Garfield,Buchanan,4000,33801,7,12
,Mckinley,Carter,2000,302400,4,2
,総取引における距離の平均,2041.0,合算地,24500,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,9.0
,売りたい家の数,18,買いたい家の数,14,
,売れた家の数,14,買えた家の数,14,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Hoover,Cleveland,1500,257501,14,8
,Carter,Ford,500,302401,14,6
,Clinton,Adams,1500,348001,13,1
,Coolidge,Truman,2000,74801,13,12
,Jefferson,Monroe,1000,45801,12,13
,Madison,Washington,1000,26401,10,14
,Polk,Jackson,2000,336001,11,2
,Buren,Fillmore,500,94401,11,11
,Taylor,Tyler,4000,264801,10,7
,Pierce,Grant,1500,309801,7,3
,Buchanan,Hayes,1500,247901,8,9
,Lincoln,Mckinley,1500,108001,11,10
,Arthur,Garfield,500,309801,5,4
,Harrison,Taft,2500,309801,1,5
,総取引における距離の平均,1535.0,合算地,21500,何番目に好きな人に売れたの平均,7.0,何番目に好きな人から買えたの平均,10.0
,売りたい家の数,8,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Hoover,1000,108001,6,4
,Truman,Obama,2500,257501,5,1
,Ford,Reagan,500,115201,6,3
,Washington,Nixson,3000,97001,4,5
,Hayes,Jefferson,2500,218701,4,2
,総取引における距離の平均,1900.0,合算地,9500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,5.0
,売りたい家の数,4,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Roosevelt,2000,309801,2,1
,Obama,Bush,1000,45801,3,2
,総取引における距離の平均,1500.0,合算地,3000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,3,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Cleveland,Kennedy,3000,33800,1,1
,総取引における距離の平均,3000.0,合算地,3000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,9,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Grant,4000,94401,2,3
,Adams,Mckinley,1500,232701,1,1
,Jackson,Fillmore,1000,198000,1,2
,総取引における距離の平均,2166.0,合算地,6500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,13,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Hoover,1000,108001,10,7
,Carter,Coolidge,1000,302401,8,4
,Jefferson,Adams,1500,45801,8,9
,Tyler,Monroe,2000,312801,7,1
,Fillmore,Madison,2000,168001,9,5
,Pierce,Jackson,2000,309801,6,2
,Lincoln,Buren,1500,108001,8,7
,Grant,Buchanan,1000,74801,4,8
,Garfield,Harrison,1500,33801,2,10
,Mckinley,Taft,3000,302401,4,3
,総取引における距離の平均,1650.0,合算地,16500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,6.0
,売りたい家の数,10,買いたい家の数,12,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Hoover,Bush,1000,257501,9,4
,Clinton,Washington,3500,348001,8,1
,Coolidge,Tyler,1000,74801,9,9
,Madison,Carter,500,26401,10,10
,Monroe,Jefferson,1000,108001,8,7
,Buren,Taylor,3000,94401,6,8
