,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,20,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Taylor,3000,94401,7,6
,Reagan,Pierce,1500,69801,7,7
,Hoover,Buren,1500,257501,8,1
,Ford,Harrison,2000,115201,6,4
,Monroe,Mckinley,1000,108001,4,5
,Buchanan,Lincoln,500,247901,7,2
,Hayes,Fillmore,2000,218701,3,3
,総取引における距離の平均,1642.0,合算地,11500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,6.0
,売りたい家の数,16,買いたい家の数,16,
,売れた家の数,16,買えた家の数,16,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Jefferson,2500,245001,16,7
,Bush,Reagan,500,108001,15,11
,Roosevelt,Madison,2000,108001,15,11
,Carter,Garfield,3000,302401,14,5
,Obama,Taft,500,45801,14,15
,Washington,Ford,1000,97001,15,13
,Jackson,Hoover,2000,198001,13,8
,Polk,Coolidge,1500,336001,12,1
,Fillmore,Clinton,1500,168001,15,9
,Buren,Truman,2000,94401,14,14
,Taylor,Buchanan,1000,264801,12,6
,Pierce,Grant,1500,309801,10,2
,Lincoln,Monroe,500,108001,13,10
,Cleveland,Hayes,1500,33801,9,16
,Harrison,Kennedy,3500,309801,7,3
,Mckinley,Arthur,1500,302401,2,4
,総取引における距離の平均,1625.0,合算地,26000,何番目に好きな人に売れたの平均,8.0,何番目に好きな人から買えたの平均,12.0
,売りたい家の数,11,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Roosevelt,500,158801,10,5
,Taft,Carter,1000,193301,8,4
,Truman,Washington,500,257501,7,3
,Clinton,Obama,500,348001,7,1
,Coolidge,Adams,500,74801,10,6
,Jefferson,Jackson,1500,45801,8,8
,Madison,Polk,3000,26401,6,10
,Grant,Tyler,2000,74801,8,7
,Garfield,Cleveland,1000,33801,5,9
,Arthur,Bush,2000,309800,10,2
,総取引における距離の平均,1250.0,合算地,12500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,7.0
,売りたい家の数,3,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Adams,Nixson,2000,232701,1,2
,Tyler,Eisenhower,2000,312800,2,1
,総取引における距離の平均,2000.0,合算地,4000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,1,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Johnson,1000,309800,1,1
,総取引における距離の平均,1000.0,合算地,1000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,2,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Monroe,Hoover,1500,108000,1,1
,総取引における距離の平均,1500.0,合算地,1500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,10,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Harrison,3500,94401,4,4
,Bush,Cleveland,2500,108001,2,2
,Hoover,Hayes,3000,257501,3,1
,Buren,Buchanan,2000,94401,3,4
,総取引における距離の平均,2750.0,合算地,11000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,16,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Garfield,3000,158801,10,6
,Reagan,Taylor,2000,69801,8,8
,Obama,Madison,2000,45801,10,9
,Washington,Fillmore,3000,97001,9,7
,Polk,Jackson,2000,336001,8,1
,Buchanan,Monroe,1000,247901,9,4
,Hayes,Buren,1500,218701,9,5
,Cleveland,Lincoln,2500,33801,4,10
,Harrison,Arthur,1000,309801,3,2
,Mckinley,Coolidge,2000,302400,5,3
