,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,17,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Taylor,2000,69801,8,9
,Nixson,Garfield,1500,309801,8,2
,Taft,Cleveland,2000,193301,7,7
,Hoover,Grant,2500,257501,6,4
,Ford,Pierce,1000,115201,9,8
,Adams,Fillmore,1000,232701,5,5
,Polk,Buchanan,3500,336001,4,1
,Hayes,Harrison,1000,218701,4,6
,Mckinley,Madison,1500,302400,9,3
,総取引における距離の平均,1777.0,合算地,16000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,6.0
,売りたい家の数,19,買いたい家の数,14,
,売れた家の数,14,買えた家の数,14,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Clinton,Taft,1000,348001,13,1
,Coolidge,Ford,1500,74801,14,10
,Jefferson,Truman,1000,45801,14,11
,Madison,Hoover,1000,26401,14,14
,Monroe,Hayes,1500,108001,10,8
,Jackson,Obama,2000,198001,12,6
,Fillmore,Washington,3000,168001,10,7
,Taylor,Adams,2500,264801,10,4
,Pierce,Buren,2500,309801,8,2
,Buchanan,Lincoln,500,247901,8,5
,Grant,Polk,2500,74801,12,9
,Garfield,Arthur,500,33801,6,12
,Cleveland,Mckinley,1000,33801,4,13
,Harrison,Nixson,3000,309801,14,3
,総取引における距離の平均,1678.0,合算地,23500,何番目に好きな人に売れたの平均,7.0,何番目に好きな人から買えたの平均,10.0
,売りたい家の数,8,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Jackson,3500,158801,7,3
,Truman,Coolidge,2000,257501,7,2
,Obama,Clinton,500,45801,6,7
,Washington,Tyler,3500,97001,7,5
,Buren,Jefferson,2000,94401,5,6
,Lincoln,Monroe,500,108001,3,4
,Arthur,Reagan,2500,309800,4,1
,総取引における距離の平均,2071.0,合算地,14500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,5.0
,売りたい家の数,1,買いたい家の数,5,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Tyler,Eisenhower,2000,312800,1,1
,総取引における距離の平均,2000.0,合算地,2000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,3,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Carter,1500,108000,1,1
,総取引における距離の平均,1500.0,合算地,1500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,7,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Mckinley,4500,245001,3,3
,Carter,Hayes,2500,302401,1,2
,Polk,Adams,2000,336000,1,1
,総取引における距離の平均,3000.0,合算地,9000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,5,買いたい家の数,14,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Grant,Hoover,2500,74801,4,4
,Hayes,Polk,3000,218701,3,3
,Cleveland,Taylor,4000,33801,3,5
,Harrison,Roosevelt,3000,309801,1,1
,Mckinley,Johnson,4500,302400,5,2
,総取引における距離の平均,3400.0,合算地,17000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,13,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Monroe,2500,309801,7,1
,Hoover,Lincoln,2000,257501,6,3
,Adams,Grant,1500,232701,5,5
,Madison,Cleveland,2500,26401,4,7
,Buren,Garfield,2000,94401,7,6
,Taylor,Harrison,3500,264801,3,2
,Buchanan,Jefferson,1000,247900,7,4
,総取引における距離の平均,2142.0,合算地,15000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,5.0
,売りたい家の数,12,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
