,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,16,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Madison,2500,158801,8,4
,Reagan,Pierce,1500,69801,7,7
,Nixson,Garfield,1500,309801,7,1
,Hoover,Buchanan,1500,257501,5,3
,Monroe,Harrison,1500,108001,7,5
,Lincoln,Taylor,1500,108001,5,6
,Arthur,Washington,4000,309801,6,2
,Cleveland,Jackson,1500,33801,8,8
,総取引における距離の平均,1937.0,合算地,15500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,6.0
,売りたい家の数,17,買いたい家の数,14,
,売れた家の数,14,買えた家の数,14,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Nixson,1000,245001,14,7
,Kennedy,Clinton,1000,94401,13,11
,Truman,Ford,500,257501,13,5
,Carter,Coolidge,1000,302401,12,3
,Obama,Hoover,1000,45801,13,12
,Adams,Arthur,2000,232701,12,8
,Washington,Monroe,1500,97001,12,10
,Madison,Polk,3000,26401,8,14
,Jackson,Fillmore,1000,198001,9,9
,Taylor,Cleveland,4000,264801,9,4
,Pierce,Lincoln,1000,309801,7,1
,Buchanan,Mckinley,2000,247901,6,6
,Garfield,Tyler,1000,33801,8,13
,Harrison,Reagan,2500,309801,5,2
,総取引における距離の平均,1607.0,合算地,22500,何番目に好きな人に売れたの平均,7.0,何番目に好きな人から買えたの平均,10.0
,売りたい家の数,10,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Kennedy,500,108001,8,8
,Ford,Carter,500,115201,7,7
,Clinton,Roosevelt,2500,348001,8,1
,Coolidge,Obama,500,74801,8,9
,Polk,Truman,3500,336001,7,2
,Tyler,Jefferson,3000,312801,5,3
,Fillmore,Buren,500,168001,4,6
,Hayes,Adams,2000,218701,1,5
,Mckinley,Eisenhower,4000,302400,9,4
,総取引における距離の平均,1888.0,合算地,17000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,6.0
,売りたい家の数,3,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Bush,1000,108001,2,1
,Jefferson,Hayes,2500,45801,2,3
,Buren,Johnson,3500,94400,3,2
,総取引における距離の平均,2333.0,合算地,7000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,1,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,7,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Arthur,2500,158801,3,1
,Lincoln,Cleveland,2500,108001,1,2
,総取引における距離の平均,2500.0,合算地,5000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,11,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Washington,3000,309801,7,3
,Hoover,Lincoln,2000,257501,7,4
,Madison,Harrison,2000,26401,6,7
,Pierce,Obama,3000,309801,7,3
,Grant,Adams,1500,74801,6,5
,Arthur,Monroe,2500,309801,2,2
,Cleveland,Garfield,1000,33801,3,6
,総取引における距離の平均,2142.0,合算地,15000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,5.0
,売りたい家の数,14,買いたい家の数,12,
,売れた家の数,12,買えた家の数,12,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Tyler,2500,245001,12,4
,Bush,Taylor,2500,108001,12,8
,Ford,Truman,500,115201,9,6
,Clinton,Taft,1000,348001,8,1
,Obama,Hoover,1000,45801,11,11
,Coolidge,Polk,1500,74801,11,10
,Adams,Madison,1000,232701,9,5
,Washington,Grant,2500,97001,9,9
,Monroe,Nixson,2500,108001,9,7
,Buchanan,Jackson,1500,247901,6,3
,Garfield,Pierce,4500,33801,8,12
,Harrison,Hayes,1000,309801,2,2
